Date,ISIN,Security Name,Security Region,Asset Type,Sub-Asset Type,CCY,Price
20-05-2026,XS23819,Tesla,North American,Mutual Fund,Equity Funds,USD,170.7
20-05-2026,AE23820,FAB,Asia,Equity,Foreign Equity,AED,88.04
20-05-2026,IN23821,TATA,Asia,Bond,Short Term,INR,
20-05-2026,DE23822,Allianz,Europe,Equity,Local Equity,EUR,72.59
20-05-2026,XS23823,JP Morgan,North American,Equity,Foreign Equity,USD,89.27
20-05-2026,XS23824,JP Morgan,North American,Mutual Fund,Equity Funds,USD,77.57
20-05-2026,XS23825,Amazon,North American,Mutual Fund,Equity Funds,USD,54.22
20-05-2026,XS23826,Google,North American,Equity,Foreign Equity,USD,33.81
20-05-2026,XS23827,Meta ,North American,Equity,Foreign Equity,USD,23.52
20-05-2026,EU23828,Allianz EU,Europe,Equity,Foreign Equity,EUR,10.83
20-05-2026,AU23829,Albemarle,Australia,Mutual Fund,Fixed Income Funds,AUD,
20-05-2026,EG23830,Telecom Egypt,Africa,Mutual Fund,Fixed Income Funds,EGY,3.36
20-05-2026,XS23831,Google,North American,Equity,Foreign Equity,USD,19.09
20-05-2026,XS23832,IBM,North American,Bond,Medium Term,USD,29.19
20-05-2026,SN23833,Sea (Garena),Asia,Bond,Long Term,SNG,42.65
20-05-2026,XS23837,HP,North American,Mutual Fund,Fixed Income Funds,USD,80.88
20-05-2026,XS23835,Colgate,North American,Mutual Fund,Fixed Income Funds,USD,68.56
20-05-2026,CH23836,Glencore International,Europe,Mutual Fund,Fixed Income Funds,EUR,86.84
20-05-2026,XS23837,HP,North American,Mutual Fund,Fixed Income Funds,USD,80.88
20-05-2026,XS12121,Jio,North American,Mutual Fund,Fixed Income Funds,USD,80.88
20-05-2026,XS00002,Adani,Indian,Mutual Fund,Fixed Income Funds,USD,80.88
