TransactionID,Date,CustomerID,ISIN,Quantity,Price,Amount,TransactionType
T000059,13-03-2026,GB002,XS23819,33,178.32,5884.56,BUY
T000069,13-03-2026,GB006,XS23835,55,74.99,4124.45,BUY
T000073,13-03-2026,GB009,XS23837,66,88.51,5841.66,BUY
T000082,13-03-2026,GB015,EG23830,66,10.71,706.86,SELL
T000108,13-03-2026,GB002,XS23827,36,31.77,1143.72,BUY
T000119,13-03-2026,GB001,CH23836,31,94.71,2936.01,BUY
T000135,13-03-2026,GB002,XS23825,78,58.1,4531.8,SELL
T000172,13-03-2026,GB013,XS23835,3,74.99,224.97,BUY
T000258,13-03-2026,GB019,DE23822,87,79.92,6953.04,SELL
T000267,13-03-2026,GB001,XS23827,71,31.77,2255.67,BUY
T000367,13-03-2026,GB007,XS23823,34,98.73,3356.82,BUY
T000383,13-03-2026,GB018,XS23825,59,58.1,3427.9,BUY
T000400,13-03-2026,GB014,XS23832,35,36.12,1264.2,SELL
T000408,13-03-2026,GB011,AU23829,19,1.86,35.34,BUY
T000450,13-03-2026,GB010,AE23820,1,98.02,98.02,BUY
T000496,13-03-2026,GB001,XS23819,72,178.32,12839.04,SELL
T000510,13-03-2026,GB009,XS23823,59,98.73,5825.07,SELL
T000534,13-03-2026,GB016,AU23829,68,1.86,126.48,SELL
T000578,13-03-2026,GB007,XS23824,86,85.6,7361.6,SELL
T000598,13-03-2026,GB002,XS23824,85,85.6,7276,SELL
T000625,13-03-2026,GB001,XS23825,84,58.1,4880.4,BUY
T000640,13-03-2026,GB016,XS23831,37,26.45,978.65,SELL
T000703,13-03-2026,GB007,XS23823,58,98.73,5726.34,SELL
T000707,13-03-2026,GB001,AU23829,7,1.86,13.02,BUY
T000844,13-03-2026,GB014,EU23828,21,17.61,369.81,SELL
T000893,13-03-2026,GB011,EU23828,23,17.61,405.03,SELL
T001113,13-03-2026,GB008,XS23837,6,88.51,531.06,SELL
T001151,13-03-2026,GB001,XS23824,47,85.6,4023.2,SELL
T001167,13-03-2026,GB008,AE23820,67,98.02,6567.34,BUY
T001323,13-03-2026,GB008,EU23828,52,17.61,915.72,BUY
T001552,13-03-2026,GB010,DE23822,63,79.92,5034.96,SELL
T001574,13-03-2026,GB019,SN23833,79,47.85,3780.15,BUY
T001805,13-03-2026,GB018,SN23833,41,47.85,1961.85,SELL
T001858,13-03-2026,GB014,AU23829,28,1.86,52.08,SELL
T001927,13-03-2026,GB008,AU23829,14,1.86,26.04,BUY
T001992,13-03-2026,GB004,DE23822,21,79.92,1678.32,SELL
T002068,13-03-2026,GB007,SN23833,98,47.85,4689.3,SELL
T002111,13-03-2026,GB010,XS23826,69,40.35,2784.15,BUY
T002197,13-03-2026,GB020,SN23833,14,47.85,669.9,BUY
T002319,13-03-2026,GB013,XS23826,1,40.35,40.35,SELL
T002419,13-03-2026,GB003,XS23834,77,67.22,5175.94,SELL
T002627,13-03-2026,GB011,XS23827,95,31.77,3018.15,BUY
T002676,13-03-2026,GB015,XS23823,35,98.73,3455.55,BUY
T002705,13-03-2026,GB012,XS23824,69,85.6,5906.4,BUY
T003120,13-03-2026,GB006,XS23827,36,31.77,1143.72,BUY
T003240,13-03-2026,GB018,AE23820,29,98.02,2842.58,BUY
T003303,13-03-2026,GB012,XS23837,47,88.51,4159.97,BUY
T003371,13-03-2026,GB006,SN23833,35,47.85,1674.75,BUY
T003791,13-03-2026,GB016,AU23829,56,1.86,104.16,BUY
T003816,13-03-2026,GB010,XS23837,87,88.51,7700.37,BUY
T003857,13-03-2026,GB001,AU23829,12,1.86,22.32,SELL
T003910,13-03-2026,GB020,EG23830,35,10.71,374.85,SELL
T003955,13-03-2026,GB019,XS23819,95,178.32,16940.4,SELL
T004155,13-03-2026,GB001,DE23822,60,79.92,4795.2,BUY
T004267,13-03-2026,GB017,XS23826,92,40.35,3712.2,SELL
T004286,13-03-2026,GB006,XS23824,99,85.6,8474.4,BUY
T004353,13-03-2026,GB014,AE23820,5,98.02,490.1,BUY
T004412,13-03-2026,GB009,XS23819,60,178.32,10699.2,BUY
T004418,13-03-2026,GB018,IN23821,39,96.04,3745.56,SELL
T004673,13-03-2026,GB014,AE23820,69,98.02,6763.38,SELL
T004833,13-03-2026,GB011,XS23827,98,31.77,3113.46,BUY
T004841,13-03-2026,GB020,IN23821,30,96.04,2881.2,BUY
T004852,13-03-2026,GB012,XS23832,49,36.12,1769.88,BUY
T004878,13-03-2026,GB010,AU23829,29,1.86,53.94,SELL
T004947,13-03-2026,GB015,XS23831,85,26.45,2248.25,BUY
T004996,13-03-2026,GB003,EG23830,83,10.71,888.93,SELL
